"Part";"Value";"Device";"Package";"Description";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PROD_ID";"SUPPLIER";
"C1";".1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C2";".1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C3";"47uF";"CAP1206";"1206";"Capacitor";"";"";"";"";"";"";
"C4";"47uF";"CAP1206";"1206";"Capacitor";"";"";"";"";"";"";
"C5";"1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C6";".01uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C7";"1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C8";".01uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C9";".01uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C10";"1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C11";".01uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C12";"1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"EXTRA";"4-POS-DIP";"4-POS-DIP";"4-POS-DIP-SMD";"4 Position DIP Switch";"";"";"";"";"SWCH-12418";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";"";"";"";"";
"FRAME2";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";"";"";"";"";
"GEN_3_REV_B";"Spring 2015";"LOGO";"LOGO";"";"";"";"";"";"";"";
"IMU";"MPU6050IMUMPU";"MPU6050IMUMPU";"MPU-6050IMU";"MPU6050 IMU";"";"";"";"";"";"";
"LED1";"";"LED1206";"LED-1206";"LEDs";"";"";"";"";"";"";
"LED2";"";"LED1206";"LED-1206";"LEDs";"";"";"";"";"";"";
"LED3";"";"LED1206";"LED-1206";"LEDs";"";"";"";"";"";"";
"LED4";"";"LED1206";"LED-1206";"LEDs";"";"";"";"";"";"";
"LED5";"";"LED1206";"LED-1206";"LEDs";"";"";"";"";"";"";
"LED6";"";"LED1206";"LED-1206";"LEDs";"";"";"";"";"";"";
"LED7";"";"LED1206";"LED-1206";"LEDs";"";"";"";"";"";"";
"LED9";"";"LED1206";"LED-1206";"LEDs";"";"";"";"";"";"";
"LOGIC_HEADER";"M10LOCK";"M10LOCK";"1X10_LOCK";"Header 10";"";"";"";"";"";"";
"POWER_HEADER";"M10LOCK";"M10LOCK";"1X10_LOCK";"Header 10";"";"";"";"";"";"";
"PROG";"M05X2PTH";"M05X2PTH";"AVR_ICSP";"Header 5x2";"";"";"";"";"";"";
"R1";"10k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R2";"4.7k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R3";"4.7k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R4";"4.7k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R5";"10k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R6";"10k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R7";"10k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R8";"10k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R9";"10k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
